0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.07024972,0.22934003,-2.8398822e-06,0.21814822,0.26217735,-0.013917311,0.24326052,-4.8102248e-11,-0.0034051135,-0.07314504,0.25038636,0.19607717,0.23257524,0.25566253,-1.6274757e-17,-0.017835261,0.21679744,-4.7631625e-07,-0.0011896939,-0.012602497,-2.866972e-08,-0.036357757,-2.3564304e-12,0.25972515,1.8709419e-19,0.20670727,-0.05308628,-4.4655117e-05,0.20921132,-0.04104127,-0.048069287,0.24110422
-0.07068806,0.20181824,-2.8398822e-06,0.1920788,0.24026945,-0.013917877,0.2189484,-4.8102248e-11,-0.003405102,-0.0722038,0.22532555,0.15620689,0.2030288,0.2280927,-1.6274757e-17,-0.017848859,0.18999356,-4.7631625e-07,-0.0011896939,-0.012608721,-2.866972e-08,-0.036374282,-2.3564304e-12,0.23606655,1.7726455e-19,0.17464978,-0.053287275,-4.4655117e-05,0.17644331,-0.041204203,-0.04807405,0.2154858
-0.06997962,0.20748144,-2.8398822e-06,0.19554016,0.24572323,-0.013917051,0.22636901,-4.8102248e-11,-0.003405119,-0.07197038,0.2340937,0.16345003,0.21511158,0.23743214,-1.6274757e-17,-0.017833933,0.19894749,-4.7631625e-07,-0.0011896939,-0.0126004405,-2.866972e-08,-0.036334954,-2.3564304e-12,0.24145354,1.7414618e-19,0.18651024,-0.053121872,-4.4655117e-05,0.18903154,-0.04096324,-0.04807344,0.22356176
-0.070735864,0.20473471,-2.8398822e-06,0.195187,0.24313872,-0.013917985,0.22194636,-4.8102248e-11,-0.0034051,-0.071388714,0.22829327,0.16091383,0.20618905,0.23120573,-1.6274757e-17,-0.0178497,0.19476387,-4.7631625e-07,-0.0011896939,-0.012609983,-2.866972e-08,-0.036363374,-2.3564304e-12,0.23972408,1.7743143e-19,0.1768761,-0.053379774,-4.4655117e-05,0.18049388,-0.04122343,-0.048075378,0.21834926
-0.071011335,0.20053336,-2.8398822e-06,0.19428214,0.24020213,-0.013918325,0.21842168,-4.8102248e-11,-0.0034050932,-0.07074639,0.22438505,0.15125385,0.20275557,0.22681558,-1.6274757e-17,-0.017861968,0.19197461,-4.7631625e-07,-0.001189694,-0.0126140155,-2.866972e-08,-0.03637653,-2.3564304e-12,0.23705678,1.7754465e-19,0.17071214,-0.05355157,-4.4655117e-05,0.17443639,-0.041333348,-0.048079543,0.21414432
-0.070121676,0.2237815,-2.8398822e-06,0.21267727,0.25821203,-0.013917198,0.23934062,-4.8102248e-11,-0.0034051158,-0.072634846,0.24675307,0.18542282,0.22959949,0.25149128,-1.6274757e-17,-0.01783628,0.2136595,-4.7631625e-07,-0.0011896939,-0.012601724,-2.866972e-08,-0.03634986,-2.3564304e-12,0.2554242,1.8294412e-19,0.20194744,-0.053124834,-4.4655117e-05,0.20458071,-0.041014247,-0.048071373,0.23685627
-0.0696014,0.21322003,-2.8398822e-06,0.1948613,0.24859282,-0.013916555,0.22979708,-4.8102248e-11,-0.0034051288,-0.07413118,0.23784973,0.17408723,0.21749584,0.24182189,-1.6274757e-17,-0.0178156,0.20068109,-4.7631625e-07,-0.0011896938,-0.012594187,-2.866972e-08,-0.036336593,-2.3564304e-12,0.24366531,1.7447382e-19,0.19407207,-0.05276991,-4.4655117e-05,0.19459938,-0.040817983,-0.048064306,0.22779661
-0.06995147,0.20563069,-2.8398822e-06,0.1928873,0.2444171,-0.013917089,0.22497535,-4.8102248e-11,-0.0034051184,-0.07141115,0.23275359,0.1598061,0.21389969,0.2359078,-1.6274757e-17,-0.017834418,0.19896305,-4.7631625e-07,-0.0011896939,-0.012600999,-2.866972e-08,-0.036327545,-2.3564304e-12,0.2404577,1.7187761e-19,0.18405011,-0.053186305,-4.4655117e-05,0.18751118,-0.040970895,-0.048074376,0.22186631
-0.071006656,0.20144753,-2.8398822e-06,0.1937013,0.2405303,-0.013918334,0.21864645,-4.8102248e-11,-0.003405093,-0.07099316,0.22454105,0.15402694,0.20217156,0.22709665,-1.6274757e-17,-0.017859047,0.19203697,-4.7631625e-07,-0.001189694,-0.012613827,-2.866972e-08,-0.03637652,-2.3564304e-12,0.23742983,1.7771081e-19,0.1711345,-0.05351623,-4.4655117e-05,0.17490426,-0.0413303,-0.04807775,0.2144774
-0.07094762,0.19507515,-2.8398822e-06,0.18737847,0.23607379,-0.013918302,0.21405886,-4.8102248e-11,-0.003405094,-0.07020854,0.22013459,0.1449018,0.19738491,0.222067,-1.6274757e-17,-0.0178593,0.18778384,-4.7631625e-07,-0.001189694,-0.012613797,-2.866972e-08,-0.036364026,-2.3564304e-12,0.23261385,1.7338603e-19,0.1650714,-0.05357412,-4.4655117e-05,0.16962007,-0.0413148,-0.048079897,0.20964438
