"","X14066_49","X3400_49","X4840_73","X7253_6","ENSG00000116161.18","ENSG00000117751.18","ENSG00000140455.17","ENSG00000144021.3","ENSG00000145833.16","ENSG00000155903.13","ENSG00000171681.12","ENSG00000173915.16"
"X14066_49",0,0.000100794299084405,0.000253699207521816,6.16845767038395e-05,0.000387572029939792,0.000472113900118178,0.000373489241209921,0.00026818349746452,0.000500054206940276,0.000445001807413053,2.0274677606552e-05,0.000201143035546781
"X3400_49",0.000100794299084405,0,7.58670913314053e-05,2.90945632422996e-05,8.81577621755217e-05,5.9727801763556e-05,0.000101689827771451,7.55273341786571e-05,0.000120186761782608,8.14349854936628e-05,4.62538080831878e-06,6.2330510782897e-05
"X4840_73",0.000253699207521816,7.58670913314053e-05,0,4.67522466442271e-05,0.000192995544884227,0.000161542356911192,0.000192283383549842,0.00014895306983596,0.00027773305583125,0.000184126701071397,1.08922032639597e-05,0.000119225133145518
"X7253_6",6.16845767038395e-05,2.90945632422996e-05,4.67522466442271e-05,0,5.4433954498708e-05,3.60299266264391e-05,6.35985333337143e-05,4.721101857044e-05,7.39865806871422e-05,5.01541756670444e-05,2.879793786683e-06,3.88400041092782e-05
"ENSG00000116161.18",0.000387572029939792,8.81577621755217e-05,0.000192995544884227,5.4433954498708e-05,0,0.000453971841648915,0.000410090981920277,0.000360817602985129,0.000450957609297126,0.000453047974031181,1.17195805233588e-05,0.000201769322024564
"ENSG00000117751.18",0.000472113900118178,5.9727801763556e-05,0.000161542356911192,3.60299266264391e-05,0.000453971841648915,0,0.000396748695362096,0.000284241894399509,0.000495713425177808,0.000601740174858779,9.2200089207856e-06,0.000199586183620647
"ENSG00000140455.17",0.000373489241209921,0.000101689827771451,0.000192283383549842,6.35985333337143e-05,0.000410090981920277,0.000396748695362096,0,0.000372443941064871,0.000407094613024206,0.000413334783670733,1.98940044995672e-05,0.000187127903856492
"ENSG00000144021.3",0.00026818349746452,7.55273341786571e-05,0.00014895306983596,4.721101857044e-05,0.000360817602985129,0.000284241894399509,0.000372443941064871,0,0.000311746465033508,0.000274700097791145,1.67238518584216e-05,0.000226235221072237
"ENSG00000145833.16",0.000500054206940276,0.000120186761782608,0.00027773305583125,7.39865806871422e-05,0.000450957609297126,0.000495713425177808,0.000407094613024206,0.000311746465033508,0,0.000463235544503097,2.04710854037216e-05,0.00023150632274686
"ENSG00000155903.13",0.000445001807413053,8.14349854936628e-05,0.000184126701071397,5.01541756670444e-05,0.000453047974031181,0.000601740174858779,0.000413334783670733,0.000274700097791145,0.000463235544503097,0,1.48717623557582e-05,0.000195021974452923
"ENSG00000171681.12",2.0274677606552e-05,4.62538080831878e-06,1.08922032639597e-05,2.879793786683e-06,1.17195805233588e-05,9.2200089207856e-06,1.98940044995672e-05,1.67238518584216e-05,2.04710854037216e-05,1.48717623557582e-05,0,1.20073654701384e-05
"ENSG00000173915.16",0.000201143035546781,6.2330510782897e-05,0.000119225133145518,3.88400041092782e-05,0.000201769322024564,0.000199586183620647,0.000187127903856492,0.000226235221072237,0.00023150632274686,0.000195021974452923,1.20073654701384e-05,0
